message,target
what was that about fucking us up later ,1
even when he is thanking me,0
finally lol,0
pick something different you sad fucks,1
clown meepo,2
trash ursa we have bro balance,2
annnoying bitch,2
g throne,0
this brood is a fatbitch,2
its literally just a game,0
mid go they cant def,0
crashed,0
cool game,0
 c,0
tangina mop  ,2
he is best shittalker au,1
shut up nigger go back to candyland,2
see item  st diot,1
can suck my dick,2
my fucking,1
hey noob anthony,2
haters,0
pugna  how copme you killed yoursefl,0
come out idiot sup,2
omg what a fucker,1
uck up bort,1
but saberchad stronger,0
clowns,0
end please i got the rtard team again ,2
where is ur item ,0
its free,0
couldnt possible be shit skill,1
lc u r such a shit eater,2
stack reports for this clowny ruiner on treant,2
good top,0
of my life,0
when u supp a noob team,1
cant we ,0
i fuck your dad,2
this es,0
ur mom where,2
i am sucking mega cock with pos  ,2
fuckk offff man,1
see that,0
if you try and talk the entire game to make friends  you are a loser  ,2
he went to masturbate,1
when hes learning hero,0
its rly broken shit,1
report warlock,0
this dog tip me ,2
when the tiger hungry he eats ,0
with my best friend,0
cant do shet wihout ur suport,1
no need to be cunts about it ,1
ogre said he won the lane,0
only  ,0
too bad i have   rapier,0
btch,1
ashei fassio,0
what a joke,0
wtf comback,1
thanks for spitting facts whitemon   ,0
team worried about alch for what,0
wtf was that idiot fish,1
with the rotation bot,0
he s logic is he is noob,1
basic game,0
eather play or stop wasting time you idiots,2
son of dog,2
why you think you can talk to me  ,0
yeash ,0
namo    troll or retarded ,2
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
party with midgod,0
sh currier,0
u suck pinga with cheese,0
or jungle walker,0
chain frost is really good btw,0
little neckbeard,0
tard timber,1
wr who to blame now ,0
sup ind g ,2
when lc mom die she say ah,2
the stupid penis lover ursa,2
u talk alot of shit for a game thats not won yet,1
fucking hell,1
what do u mean by that,0
please hold,0
report mother fucker useles axe,2
w in the chat boys,0
what is he supposed to do   ,0
this fucking timber makes me sick,1
after this game you will have less mmr than me trash,1
you are lower than me cockspaghetti,1
green is talking shit yall,1
dont play with flowers if you want to get your arse tickled,0
buy another crimson nerd,0
ulises bueno  rusherking  big one   mentiras   crossover  ,0
undead should be segregated from the rest of us  ,0
u play like sht anyway,2
no buy still come out farm,0
yesss ur mom is animal,2
youre a sniper    ,0
how to win ,0
antiogamer,0
fuck putin,1
catch me,0
whos your baby idiot ,2
he noob in short,1
how tf is techies   kills,1
and help,0
straight pls,0
where is lina ,0
fair enough man,0
why crying   ,0
is fcking good,1
fuck russian,2
       th pick riki,0
my oflainer,0
u suck ember s fist,2
party with peksudota ,0
dogshit players,2
this fucking,1
play with brain bro,0
to prove i can cancel with grenade,0
click on his sniper avatar,0
fuckin pl pickers,1
stop playing u retards,2
u have reached a stage of the game where sniper understands how to play now,0
thron,0
fuck bort,2
how long before out of legend,0
hard to be the best,0
bros hop off my cock,1
thats a shame,0
you play the exact same hero,0
suck my tiny pecker,2
wtf is that,1
report gay jugg,2
then he cries,0
and my   sits top with his thumb up his ass,2
your ancient needs that much help ,0
wat a trash,1
really   ,0
let me out of this shitshow,1
noob slark cant fight carry xd,2
report puck ffs,1
and then fucking lose,1
hitting towers,0
clown,0
 head,0
it should say safe to leave,0
tower ,0
i was just tryna chill man wtf lol,1
so fuck it ,1
trash drow,2
jesus fucking christ,2
say one thing,0
report mk pls,0
scared bc ur mid is noob,1
no tps team shit,2
goated supports,0
just rtarded support on my side,2
fkin scaredy cats,2
leave fuck noobs,1
i always love that everygame i play against a   stack and have to put up with   russian retards,2
rofl,0
we can tell,0
tell me why so ez,0
put a period so you don t use bad word  cunt,2
  fkin losers just can t seem to end,2
stupid ass bitch,2
this is funny this hero got   fkin intellengence,1
holy shit,1
choppp,0
fucking ti players in legend,1
he take    hit on towers,0
hard to play line with rtard like you,2
we have a lil jungle bitch here,2
my team is just pro,0
still managed to walk  ,0
bitch,2
how about persona ,0
classic    age,0
pause for him ,0
what losers,2
i have an am who got shit on line and now he s crying hahaha what a good team  pure shit in this media  how could i get so low ,1
gg this underlord pussy,2
find me gay ,1
ching chong wanna be,2
fat ass fuck,2
worth it,0
u can own only invoker actor players,0
for sure,0
team ,0
wasting time ,0
the loudest are always the foolish,0
nah actually fuck undying,1
the fucking difference is when i target cm we win the fight,1
i dont speak ching chonmg,2
thats crazy bro,0
are you chingchong ,2
good silence,0
in chrono,0
ofcourse,0
hello there,0
what,0
i was so unsure to do next,0
fk this,1
typical ching chong cant talk anything ,2
vs   creep waves,0
report witch nobb,2
had a dream there didnt ya pa,0
what low mental fortitude,0
stop this shit ,1
timber is casting his spells  his eyes are slightly more fucked than his cousins at family reunion  so he keeps thinking he is playing pudge,2
need pos  ,0
nah  you do suck though,2
learned to make it from your nigger mom,2
it s the same reason why you play so shit,1
his router isn t giving input output,0
thanks,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
you die first then you can tp as cold corpse,0
son of whore,2
so fucking trash offlane,2
go fuck yourself ,2
easiest fucking top of my lfie,1
end chicas,0
ur team canb win with out u,0
wtf just rat ,1
i hope your cock werks,2
pleas,0
bbc for you this game,0
our venge is very mad  cause his mom still holding his winky while playing,2
no one ever gives up,0
why u guys so smell and poor country  ,2
en tu base caca de mr,0
you think im football  ,0
actually hilarious ,0
i nvr talk to u before tho,0
pick pa if u like slobbering all over fat cocks til they fill ur belly with hot cum,2
so hard for clincz mmmmmmmmm,0
not enough,0
its arc warden o clock,0
dont cry here too,0
have an unsucked dick ,1
see for waht sniper  ,0
you re not going anywhere,0
can we go next ,0
crawl back into that pig sty lil worm,2
ur not even there,0
ind g poor country ,2
fu c,1
bh reported for griefing,0
for sure,0
next time dont es offlane bro  cant initiate just wait like pussy,1
i thougt we were friends ,0
what a pure chance hook,0
whats,0
i dont understand whats happening,0
whoops sad that outlooud,0
he is dumb,2
basically playing ck with ck spells,0
end this stupid game with stupid cores,2
and raped,1
nice bug i cant see your stupid web,0
sorry  what morons ,1
g throne we afk,0
what was that about the push mk ,0
gotta love playing with retards,2
who is the best support ,0
for a  rd world dog,2
yep  died   times in a row,0
i hope hitler comes back and decides he hates chinese people instead,2
learn before u talk sh it tard,2
gg can throne,0
fuck off,1
i have     winrate tq bro,0
fucking ape,1
this idiot,1
more like watch if you want your eyes to beleed,0
that  k ,0
tough bot,0
bkb really fucked yall up huh,1
suck,0
phoenix w the drip,0
you suck my dick before sleep,2
tnagina ign pa lang,1
thank god i didnt have lastpick this game so pink is stuck with you puck,0
vvverry nice ,0
why always wanna chase me,0
incompetenct cores blaming support,0
u fuckign clowns,2
ass hole spotted,2
every day,0
nice feed retard,2
wow insane u can ultfor a brown boots underleveled slark,0
fuq off,1
so we wait for you but not us ey ,0
rapieira first item and gg,0
acc buying son of whore,2
fk u play ur rank cunt,2
wtf is this root,1
this is what happens when ur mid is shit,1
fucking pathetic,1
can you faggots stop pausing,2
master of beasts    ,0
stop walking to fountain,0
thanks m ,0
drow lowest rank in the team cant adjust,0
then first hit tried it became dark xd dota wtf,1
c an w e  end ,0
i gape her and fuck her ass,2
go fuck yourself,2
disrupt mid from there you know its gg,0
cant believe the cumback,1
piece of shit,2
u should try maybe meepo,0
use battlefury jugg,0
fucking trash,2
this am is amazing,0
trashplayers,2
any big cock lovers here,2
win ,0
one second i will bye blink and fuck your team,1
with your mom,2
both are designed to annoy ur opponent,0
this ss is ass,2
pocanam legche budet,0
but didnt specify which game,0
opinions on powell s increase in rates  ,0
is there alot of gays in philippines ,2
trash   low skill,0
and reach smth,0
that mad,0
fuickl u,2
    accident don t even know how i did that,0
u bought   too though ,0
why her nose is so big,2
eziest game of my fucking life,1
carry or ruin   ,0
so when you masturbate to sleep  do you press your knees together or wide apart like your asshole is ready to get reamed apart ,2
codex pissing or sth,0
you and i,0
yes we are noobs ,1
yeahhh this is fucked,1
no worry bro it ll be quick,0
certainly didnt take losing very well,0
no awareness frog,0
can we swap report for ursa ,0
last pick timber ,0
imagine talking shit then losing,1
party with    ,0
mad at that tb,0
are u guys trash like the last team we faced ,1
nice off,0
pussy bitch ,2
dont over try sp cs,0
ksh smurf or what  ,0
please blue,0
we re learning dota this side of the river,0
carejua,0
really,0
they cant stand   sec,0
i jsut said my first game is nice game,0
scaredy shits ,2
we can t kill jugg,0
i do wanna see the kukumancer  ,0
why go when i put a x,0
idk wtf my team is doing,1
ask your chingchong friend,2
i mean no,0
why bro ,0
did you get the gcash ,0
yeees  no spin,0
whos playing pikmin  ,0
welcome back,0
the goofy ass cookie,0
mid mode whitemon  ,0
literally,0
carried by kka ,0
ammar the  beed,0
but our cores were weak,0
imma throw this shit for u,1
witch brazilian nobb,2
nothings gonna change the fact u son of whores are  k mmr ,2
wont change shit,1
china gonna rule the world,0
cool throne,0
erpotign my team,0
why sell items wk  ,0
whatever  fuck putin,1
i fuck ur m other too tevhies,2
void you are really noob,2
ceb bto dne or feed ,0
tang ina mo magquit kayo hahaha,2
rape ur own mom pa,2
he literally stand still,0
unpause ,0
stil lthere,0
who,0
we ll give you rampage,0
k ricooo,0
he is retarded,2
imagine thinking u can go offlane wk first item fucking radiance lol,1
can t win alone,0
was playing with my tongue noobkid,1
because es babysit,0
this axe  not even once single time bot,0
but thats the peruvian way,0
my words exactlyu xdddddddddd,0
gg close game,0
esp this dazzle,0
 nyx reported,0
worst team ever,0
go fuck off,1
riki got a fuciking fly ,1
fuck u i am the carry,1
ina mall ,2
kinda free game for you,0
he leave,0
oh it is you devil icon,0
did i fucked your mother  ,2
really,0
blink come but dunno ulti,0
nah that s rank,0
stupid team,2
fuck off,1
my girl ur nothing,0
what happen when i dont play caore,0
no need for salt  qop is whiny enough as it is,0
imagine your carrying this mf,1
u understand that if by some miracle,0
does eljean know your a faggot ,2
and report morf,0
report void and qop,0
trashcunt,2
finally u called me,0
the bestr p a of cuba,0
and they still fail like dog,2
absolute dog shit toxic,2
probs fuckin goats,1
will sup only with boom,0
fucking monkeys in team,2
wioth ur dogshit meepo ,2
when we had so fck trash pick,1
i feel like you should know,0
break items,0
disugsting gross filth race,2
i knew you will come,0
  pos and  pos buy it,0
he s cmming back fasat,0
why you so silence         ,0
rep trash smurf sf,2
thanks to wr,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
whats is country krym ,0
shove it up your ass,2
i don t give a shit about your spic traditions,1
chase me sniper,0
if you re playin  me  keep it on the low cause my heart can t take it anymore,0
report od ty,0
on bot ,0
you guys been called absolute morons before ,1
big mouth,0
ez as ur mom was,2
fk ur country,2
another notch,0
sorry  i had a father in my life,0
my team pause sorry,0
clinkz is trash,2
can you fuck off ,1
if u new who i was i wudnt talk shit   me   ,1
literally bad too lmfao,0
more noob dotn know  timing of rs,1
gg fuck this unedrlord,2
i m cashing     s,0
whos gonna carry the retards,1
was gonna report am,0
hydrate u lil pricks ,2
ibs is not a handicap,0
he s a greedy bastard   ,1
thanks,0
aw shiet,1
party with uzbek or ruin,0
going for u,0
maybe its his teammates,0
in real life,0
u guys ok or what,0
nah    min que didnty expect game,0
farm creeps,0
frc,0
idiot tide,2
fucking brilliantly person here,2
when u re qop ,0
party with purpubl  ,0
u happy now ,0
marta  lpds and irevall sending their regards thron,0
muted ,0
 idonthave,0
hey jakiro whorechild,2
ez win for you,0
easy,0
first win,0
told u about handicap,0
stop playing,0
shes so ugly,2
seafood,0
pa is crying cos got raped on top,2
how low this fucking game is man even if we afk,1
that stupd,1
with these retards,1
that  ,0
they didnt pick a single,0
intro boy ,0
our  th is different,0
will not supp,0
can we go next,0
oy pick fast,0
wtf is your problem,1
no pl u cant win,0
fuck u whore mother,2
try hard ,0
i hurt the ones i love,0
you are shit player bro come on ,2
always kill me first,0
us east moment,0
lycan tergentot sedunia  ,0
ready,0
win pls ,0
but ur team left u,0
report legion not playing his role,0
lmao u clowns,2
u do not count my friend,0
ignore our monkey io,1
warlock stfu noob,2
cachandote,0
fcuk this qop,2
fu cheater,2
gl to new player invok,0
please let us win,0
rus tresh xd,0
stop it mother fuckers,1
dog storm cant backlane,2
how u survived both those fights   ,0
team is afk,0
literal definiton of a sore loser,2
cue benny hill music,0
thx go,0
won for u,0
grow the fuck up mongol,1
razor seems to be mad at me ,0
in arabic ,0
wtf rs,1
fuck off necro,1
fuck u,2
this shit lookin like a      nadcl lobby,1
am ,0
and   of ur core players,0
good trade clowns   ,2
luna once saw how her dad is fucking her another dad,2
u boys are playing like its ti,0
csmr,0
clock,0
what,0
everyone on my team should neck themselves,0
why u not in my teamxd,0
fucking retard unreal,2
imagine calling others moron,1
who will take it,0
wait for him,0
we literally cannot win because arc warden iwll never fight,0
need a paws ,0
fucking cancer,1
all the space still no impact,0
haters,0
i used to love sand king when he sucked,0
mine crying from beggining,0
sucks to be you,2
gettin this occasion to get somethin to drink  do the same bois,0
dumb fucking team,2
i dont know what happen toi this sht team,2
i cant understand that shit,1
what a shit team,1
how u know that noob ,1
you are so shit lmao,1
cyka,2
nice hero,0
for all the time,0
do i really hurt the ones i love   ,0
racoon mid razor wins this,0
that acorn got me fucked up,1
when u sex with a girl,0
especially wr,0
sound,0
well our void also sucks,2
cant win game,0
try my asshole,2
but still noob,1
that is a joke srsly,0
mother good ,0
holy shit you re outskilled so hard,1
where my archin gank all map,0
pablo hater,0
fucking retarded cunt,2
who this gay axe,2
go finish  noob team ,1
ty for wasting    min,0
wtf is up with you guys,1
thank fuck,1
fuckign hell mate,1
can one of you play offlane,0
not with ursa,0
clock,0
  reports clinkz,0
you are so retarded pudge,2
clown sf,2
your parents never loved you  adopted cunt,2
first streamsnipe ban snap,0
every game i play with idiots    ,1
stop aim me ,0
cory new player ,0
you were never gonna win with brad on your team anyway dude,0
ctm,0
wtf i can see ur tp,1
i ll steaaaal everything from youuu,0
idiot team,2
nt am,0
beast,0
you got assisted by a centaur,0
push mid clown,2
help a brotha wet his willy,2
please end ,0
 good game easy,0
we have noob drow and pudge,2
fuck this game,1
pause reason ,0
he wont back bro,0
can we all take a moment to breathe and just not play for a minute or two,0
again all legends enemy team and my team archons,0
eat my entire ass,2
clowns,0
he s wiping the poop off his face,2
just go throne,0
also u swapped my storm,0
same with bot,0
se distrae intentando matarme ta k abuso,0
your pos   has double the nw of my jugg   ,0
im so fucking bad at this game,1
your mums pretty easy,2
lose now ,0
razor is such a tryhard faggot,2
i got a brain dead player in here,2
bruh it deserved it,0
why respect  ,0
rofl,0
sell items ,0
not that intimidating,0
this stupid,1
party with broky,0
kaechana later comeback,0
me party with you smoke joint,0
stop wasting our times,0
learn from replay ok  ,0
while fucking her ass,2
f u idiot lc  when we gank u were always jungle early game,2
hard to lose vs  ,0
how is everyone doing    ,0
lol big fucking brains on this puck,1
who can carry or    ,0
suck sucky,2
what server  ,0
cumbackkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
too much brain,0
ubos tuloy kayo araw araw,0
world full of gays,2
by peru supports,0
damn ember you are pretty heavy to be allchatting,1
of course,0
why so pussy ,1
also our es,0
the fuck,1
spec cant cs top,0
u cant even stun a player haha,2
did you open the shit out of it ,1
this mothfecfucker primal tp mid,1
hf next game,0
report the peruvians,0
me and fuck sippin,1
and fuck putin,1
or feed on mid,0
anime monkey chinese,2
fuck this broodmama,2
i play too much sd tbh,0
sound slike he has throat cancer,0
lost to shitwrath,1
so its ur fault noob,2
what a trash pub,1
sort of ,0
omg topson build,0
hes talking mad shit too,1
ez indio,2
retarded peruvian drow,2
mga tanga,2
not a sea end ,0
hello cringe shit,1
nice od afk,0
push ftw,0
yes ur whole family all trash lsoer,2
caming,0
end this boring ass game,0
one more g pls ,0
gg and fuck putin,2
idiot how,1
razor isnt carry ,0
wrong chat,0
vacation in new jersey ,0
fukll of fucking noobs,2
why waste your own time,0
g throne,0
was lost,0
boring,0
you guys are tired,0
wp imbecile,2
suck my dick la,2
tim anjing,2
why is magnus mid and sf on offlane,0
id stick my cock so far up your ass,2
guys your base,0
after this game,0
let s fight with tide ulti only,0
i ate a shit ton of broccoli,1
i know ur life is bullshit,2
thanks,0
go play minecraft matthew,0
for yourself,0
pudge go home man,0
fxck you too,2
account buyer dog,2
and juggernaut has a manta style and nothing because he decided the best thing to do once his lane was fucked was    nothing for    minutes,1
wrong neighbourhood,0
that,0
actually dont touch his blade thanks,0
pls wait,0
our noob timber ,2
he puts,0
braindead rus,2
hope atomic bomb will land their home,2
lol he is a fat kid,2
cause he is benig a whiny baby,0
nyx just type virgin and u win,0
use shell,0
wahtthefc,1
tired of supporting fucking noobs,2
doesn t explain how you are dogshit outside of mid,2
throne nuugers,0
my wit and your mom have that in common,0
you are mouse and noob,2
what a moron,2
too many apes,2
  cis team,0
everyone,0
whats the animal that keeps shitting on my car then huh ,1
report anti and magnus,0
muslim son of whore like u ,2
how did yall manage to lose this game,0
trash offlane,2
why man  p,0
idiot this pudge,2
pure idiots are playing this game,2
ez noobs in team,2
what teh fuck,1
this dog say me  use tp,2
nice shit  d ,1
sht cunt techies,2
hc eeuu shit player taco,2
with ur stupid gameplay,1
rofl,0
what a retrard ,2
report them all please  such retardness,1
why u use chat ,0
so fucking stupid,2
but this dude dont hahaha,0
try hard moron marci,2
wdym  you talk to me  st,0
fuck off,1
if my venges mom isnt a fat fucking whore,2
guys trust me report please,0
dont forget to report this faggot sb ,2
nice catch retard  d,1
how did she get this farm  ,0
fuck that guy,1
nothing,0
im gonna go play overwatch fuck this,1
is indian waiting for a comeback,0
gotta have some public decency,0
playing  wth rightclick hero,0
did he kill anyone  ,0
useless as your army,2
maybe a   for   soon,0
asshole,2
low brain,2
every   minutes,0
sorry busy fucking ur motherss,2
thats what you think,0
what a transgression,0
pobistree spushu,0
fucking trash,2
i can but i need to train myself for pos ,0
what the fuck i wanna play ,1
what are the fucking odds,1
i hope you think about this xd,0
basic,0
fuck this trashg shit,2
that bad ,0
cu slabul asta de why so serious,0
who the fuck,1
fuck it,1
depression is for pussies,1
going in tower hit range,0
when ur carry sucks y lose,1
lol that enigma,0
why,0
chad player,0
what was that,0
or your noob ,1
it s just waisitng time,0
all chat ,0
hope your retarded mother dies in front of your eyes,2
first was on rune,0
good handicap for us,0
i would have same score as faireye,0
ez bear tho,0
think of all i ve done for you,0
u guys lose the time,0
i fuck both of ur gay fyucking faggot dads,2
play genshin,0
they just too bad,0
with a big nose,2
mother fucker,2
too bad yr mouse dick kinda cute n short,1
how much ,0
bro idk how to use this,0
look at these imbeciles forgetting about serpent wards lol,1
before putin bomb you,2
type,0
trying so fucking hard to throw since lvl  ,1
grey screen,0
ty  ur noobness im now ancient,2
fucking crybaby stealer bitch,2
undy low shit min    use go end gg and play    min,1
cant win alt ,0
hold on sunshine,0
wtf primal ,1
noobs are   for   today,2
what a timing,0
lycan my ass xd,1
pls not this hero    ,0
he say stfu,1
cause our clintz and am are fucking dogs,2
and shit on so many pos  and  ,1
nob team,2
omg no this trash no way,1
shaker used echo,0
  morons atacking pudge non stop,1
but why linken,0
think oh i can predict pango talk shit,1
stupid bitch woman cm,2
is this lp,0
too ez undying dog,2
ok that was personal,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
now trashtalking ,0
u was rape pos   bro,1
not,0
after he got trashcanned,0
here to save toronto,0
buy more hearts rofl,0
you pick me you arldy win this game,0
that chrono fuked ya,1
where is it retard ,2
first hit bash,0
fucking clutch,1
why no money idiot  ,1
stfu tree,1
piece of trash,2
pos   pls thanks english team if possible,0
u can fisnih right now,0
suck my ass,2
idiot carry,2
how much pidaras i am from   to      ,0
if you cant play core bro,0
trash carry ,2
shoudnt,0
fk u,2
hey clown look top,2
what the shit u spouting sir,1
son of whore,2
want some ethereal ,0
we want to play fair,0
i report necro if u scrim rightr now,0
thats a nice streak  would be a shame if you lost it,0
a fuckcing fly on riki this game ,1
crash,0
bitch ass,2
idiot low rank,2
dont rat man its so loserish,0
learn english,0
how the fuck,1
hes new,0
undying was hype af,0
bad draft with a shit tide player,2
not reporting am,0
and he cry like a dog,2
sorrty,0
you are so retarded and bad,2
as retarded as centaur,1
fear my dick,1
this mid and safelane   ,0
im solo play when spirit br and shaman suck dick,2
  times my buttons were pressed,0
does fly works on clones ,0
bought mkb,0
wtf is that shockwave hook interaction lmfao,1
i thought meepo storm would get fucked this game,1
eayh bc sven mf support ,1
harosh,0
but we will win,0
what a loser,2
acc buyer noob,2
what,0
report np guys ty,0
white boy,1
wtf is that radius,1
despite both mid and offlane super feeding,0
in her asshole,2
ill roll for yous,0
like your mothers,0
another great game,0
smegma in your cock,2
if u reach top     they said,0
worst subhuman,0
retarded offlane,2
wait for lc,0
eziest game in my life,0
ta has boots    naga is a wank hero,1
might wanna get that examined,0
u deserve nothing,0
the attack didnt hit,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
can we end ,0
i dont wanna play wtih some trash mopngolian and myasnmar players,0
i really fuckign tried,1
puck got stomped mid but otherwise didnt do so bad,0
and i will still be above you ,0
nothing,0
not in one team with manticore pls,0
trash coore,2
whity i will show you now how to play offlane,2
aint no way im playing against doctor sex,1
good game  clothes,0
ill report u and pa,0
thank,0
it helps,0
thats only illu bro,0
clowns,0
pa throwing,0
party with uzbek or ruin,0
win lane then useless,2
ready,0
cant speak for the others,0
tell sf his girlfriend ugly as shit,2
team idiots,2
wr crash,0
wtf go mext ,1
ok ok settle down and ill get off your mum,2
neither are you,0
for the first time,0
oh now it is only a game ,0
you are still crying,0
idiot earthshaker bot,2
you killed me and got   level wtf,1
with his low brain,2
i bet you bought that as divine and now legend,0
only ld and meepo,0
u suck line for me all game,2
suck dick bitch,2
more party games,0
worthless bot,2
got fucked by  k scrub,2
what is sex ,1
stupid carry,2
clown carry ,2
if youre triying to tilt me low skilled animal,2
we are party,0
because thats what i queued for,0
ty for win tech,0
