text,toxicity
End,0
bro doom,0
GGWP [SEPA] repor am and clock,0
noob team,1
talk shit carry,1
lol,0
gg wp,0
PATHETIC ALCHEMIST,0
wp sf,0
gg,0
yeah lc is terrible [SEPA] LC should crush am in lane,0
:DD [SEPA] asdas [SEPA] amkafa:D,0
yw team,0
immrotals creeps,0
??,0
dead,0
ty invoke,0
bad internet [SEPA] he's poor,0
pudge [SEPA] so ez [SEPA] pick pudge in mid [SEPA] and want win [SEPA] xD [SEPA] nice [SEPA] pudge,0
TH... can kill you with my hands tied behind my back.  :P,0
da,0
dont listen to them luna [SEPA] you are a special snowflake,0
commend me pls friend,0
OMG NOOB VENGE AND DROW AND LESHRACK AND TUSK AND OGRE,1
gg,0
woops [SEPA] woops,0
gg,0
zzz,0
out drafted [SEPA] wp,0
report pls pa and mid,0
?,0
farm more,0
DONT DEF PLSS [SEPA] I WANT TO SLEEP,0
lol!,0
OD PLS [SEPA] DONT COME MID,0
need to wait next 2 roshans,0
wp [SEPA] abandon,0
fuck you [SEPA] idoopt [SEPA] paper,1
i play a lot of tide,0
LOL,0
oooo damn,0
ty,0
gj pa,0
hahahhah [SEPA] she b [SEPA] LOLOLOLOL [SEPA] aa has sentry  [SEPA] btw [SEPA] lol,0
tgg,0
gg treant,0
ez,0
4Head [SEPA] im ritsu [SEPA] i play slark fam,0
if u are pro,0
GGGG,0
just to know,0
"trust me as much as you hate your team, we all hate eachother too",1
GO [SEPA] 0 2 0 [SEPA] rq,0
we do?,0
haha,0
awlays.,0
lo,0
hahah,0
}ROAD TO HELL [SEPA] HAHA,0
"oh, seems u have the suka suka",0
. [SEPA] fuck off [SEPA] i gotta piss SORRY,1
"report wd, says strongest hero [SEPA] kappa",0
ok2,0
hH,0
wr should dive? [SEPA] under t1 [SEPA] tell me [SEPA] when we just kill storm,0
fck off lucker,0
hirap mag support laging patay,0
COME CLOSER,0
ns is an early game snowballer mother fucker,0
LOL,0
?,0
lol?,0
dr [SEPA] noob shit,1
ggwp,0
50 mins,0
ohh,0
gg tinny 1st skill learn 3rd skill report,0
fuck u,1
ur 5k alr say end,0
op flash [SEPA] flask,0
DONT PLAY MMR TEAMATES [SEPA] END FAST,0
recontra izi,0
LO,0
well played,0
keep your babysitter [SEPA] scrub,0
ya thank peru blue [SEPA] 4-25,0
oh my go [SEPA] this is so good,0
safe to leave,0
zzzzz [SEPA] fuck,1
pudge won offlane [SEPA] na wflame invoker [SEPA] nice,0
Ez mode,0
ANTICLIMAX,0
ggwp,0
ggwp [SEPA] c u @ lan fpr,0
haha,0
NICE [SEPA] MORE,0
GG,0
slark bb pls,0
u win??,0
hes online,0
+,0
done,0
jungle stacked [SEPA] lol ??,0
you blow your ulti always jsut on my time,0
i do what i want,0
lol [SEPA] bye,0
inocente,0
lol fk noobs [SEPA] stfu,1
mirana prophet,0
PİNG,0
sry he new [SEPA] new boys,0
better for us,0
?,0
lol,0
Look at armor before you suicide.,0
bitches [SEPA] awetgqergqegr,0
2400 gold away,0
ez 2 times,0
i love how pressing deny rune means do nothing so other team canget the rune,0
gg,0
^),0
gj... without Carry... [SEPA] you won...,0
tenks,0
fucking weak,0
ez,0
:),0
peruvian ingles,0
Wtf,0
is it actually possible to win a game with slark nowadays?,0
Lol,0
report invoker pls [SEPA] el hc se va arriba [SEPA] report invoker pls,0
 [SEPA] weak invoker,0
Gg wp,0
lmao,0
haha,0
and now you talk shit,1
so it does,0
just why [SEPA] im qt little puck,0
nc tp,0
lol,0
i gotchu bro,0
gg wp [SEPA] ?,0
i see nothing,0
Yes you are ppor,0
i give up,0
cyka blyat,0
why you never [SEPA] have ulti [SEPA] wk?,0
he said,0
gg,0
gg,0
Really? [SEPA] Gg [SEPA] omg [SEPA] i'm sp for idiot :'(,1
he misses stun [SEPA] 4times,0
DDC,0
"CPOM,E AT [SEPA] ME",0
what happen [SEPA] its so fucing messy,0
he is flamer trash,1
cant wait?,0
WOW,0
lol,0
fucking undying [SEPA] alway blame [SEPA] enjoy [SEPA] fast end [SEPA] undying go carry,0
and ofcourse silencer is around to steal my mana [SEPA] he should have to kill the person to take the mana,0
go end,0
za igry,0
i lose like 40% of my pub games,0
?,0
pro,0
wp slark,0
stupid game,1
,0
i need see dumb slrk like that [SEPA] need see jump like that,0
:D,0
ez sf,0
gg,0
report this shit,1
they rep your country now,0
gg [SEPA] ez mid,0
"noob sb, so shit",1
late game  [SEPA] if we win :)) [SEPA] commend you all  [SEPA] ingame and stream,0
:D,0
sure [SEPA] under stun,0
4x5,0
nice echo,0
lel [SEPA] y hit,0
XD,0
nice pudge :D,0
jugg reported,0
why?,0
REPORT HIM,0
sf :(,0
outsupportered,0
gg,0
gg,0
(,0
traffic,0
:D,0
lol,0
life of sup,0
pls  report  this   shit   2nd  game  a row,1
1 min pls,0
what happened to him,0
ahaaahaha [SEPA] fucking morherless,0
and random sniper [SEPA] first pick,0
RAPED [SEPA] AHahaha,0
xd,0
hahah [SEPA] alche [SEPA] hahahhaHAHA,0
reported,0
GGWP [SEPA] EZ MMR,0
wp mirana,0
im too racist for us to be friends. [SEPA] :(,0
gg,0
gg,0
phoenix not here,0
rofl [SEPA] how can u kill me if no ulti ? [SEPA] 85s?,0
kuilla che,0
actually a good game,0
woooo!,0
ggwp,0
ty,0
sad fuck,1
xD,0
he's autistic,0
1 min,0
disruptor lost game for us though,0
ez,0
#ERROR!,0
nop,0
waste of time,0
Ok,0
ty for cheese,0
axe is new meta ? :D [SEPA] Keepo,0
lets just play,0
rat style,0
yea a 3k player playing in this [SEPA] doesnt feel good,0
fuck you!,1
gg,0
wait up,0
this game bro,0
noob,1
"give up, johnny",0
how long should we wait?,0
ggwp,0
EZWP,0
nice game,0
i happy,0
fucke,0
xD,0
gg,0
i pulled oracle for you guys [SEPA] let sget em,0
Def dude,0
end game,0
and i?,0
invoker was kicking ass on mid..,1
nice cancer [SEPA] bastard heroes [SEPA] u fucking bastard [SEPA] dogs,1
wp silen,0
Ez bot.,0
noob,1
YEAH [SEPA] SO STFU [SEPA] DEAD MAN TELLS NO TALES,1
omg [SEPA] fuck off,1
hard bot,0
KID,0
So close!,0
retard talking,1
,0
HAHAHAH [SEPA] NEED 3 [SEPA] BRO,0
wr supp too,0
ded,0
0 12 [SEPA] XD,0
did,0
ggwp,0
wp [SEPA] ez mid,0
gg,0
Stfu,1
IDI NAHUY,0
coming [SEPA] sry guys,0
he still not in game,0
ez,0
fuck skewer,1
he got 1985 [SEPA] AHHAHHA qop,0
unlucky xD,0
it s fucking almost 2016 [SEPA] and you can t get a fucking good pc or internet,0
don't [SEPA] please play normally,0
THY HAPPY CAUSE THY BUY ACC [SEPA] WTF,0
just finish this asshole is 3.1 k and threw as hard as he could,0
pretty sick,0
ulti me more,0
just [SEPA] had to feed off you top [SEPA] make some space [SEPA] win game [SEPA] ez,0
LOL [SEPA] u only KS,0
no karma,0
ofc,0
ggwp,0
END,0
sURE,0
ahhaha,0
hey man can u block ur map and dota game [SEPA] so i can watch u [SEPA] need me some b9..,0
io too op [SEPA] :),0
6k mmr bested [SEPA] outplayed bby cake,0
more range,0
od maxing passive [SEPA] sk not jungling [SEPA] i just wanan quit dota [SEPA] what is this? [SEPA] 1k mmr?,0
hehe,0
"hmmmm,",0
hah,0
BUTTHURT,0
GOOGD GAME,0
gg wp,0
lol on that fucker,0
duel how......you usually need  TO SEE your enemy to duel [SEPA] smartass,0
SF? [SEPA] DUMB,0
GG,0
GG [SEPA] GG [SEPA] GG,0
65 sec [SEPA] fuck u,1
nice crit,0
lol,0
you play well,0
|Ez,0
can u guys swap the team?,0
wew,0
gg,0
BLACK HOLE?,0
OFFLANER TB OP,0
that 300g [SEPA] too much bait,0
Suprise,0
why so ez?,0
who fast,0
yeah it is,0
lol [SEPA] dusa,0
fucking lag,0
gg wp,0
hahaha,0
true [SEPA] reported rubick :),0
gg [SEPA] abbadon [SEPA] is a fuckign moron,1
NOOB WW,1
you noob,1
qop [SEPA] )))) [SEPA] qop . . . [SEPA] qop [SEPA] u r so low,0
did realize that u got 1 point for it only,0
can u report wr?,0
wtf so long,0
hmm [SEPA] let sniper in bara u can gank him :P,0
wowo,0
gg,0
Last Online 15 mins ago,0
?,0
askdjflkasdjflkasdf,0
an illution,0
izi game for tusk and cent diving this fucking raging kid xD hahaha,0
take it [SEPA] ill watch,0
nice joke,0
uncalled for shaman [SEPA] u started this,0
Alxim noob...,1
gg,0
WTF TEAM [SEPA] PIERDAN RCTMRE,0
lion dc lagging,0
end,0
?,0
all luck,0
ya,0
comend o sumail plz,0
thank you come again,0
dem rq',0
+,0
idiots!,0
hahaha,0
Bye,0
gg [SEPA] tb no bb,0
itim [SEPA] slamat,0
nyx fed [SEPA] nice fucking h8 [SEPA] more h8 guys,0
comend me fail mid :),0
EZ,0
GO VOID FARM WR MID AND WIN! [SEPA] SO EZ LANES [SEPA] EZ PICK  [SEPA] EZ GAME TY! [SEPA] SOE zs!,0
wr commend me,0
jajaj,0
its still here ; ),0
says the lycan offlaner,0
easy,0
 [SEPA] lets play a good game of Dota huh?,0
ur team kept on resuming,0
trax [SEPA] carry pa more [SEPA] bobo [SEPA] hahaha [SEPA] runner [SEPA] sad?> [SEPA] letrs talk?,0
?,0
game 2vs5,0
we jst slow,0
33 min,0
lol,0
Gg,0
they yused it,0
he must have bought account u cant be SO bad at 540,0
xvideo was blocked [SEPA] ...,0
?,0
hahaha,0
ur momk,0
gg wp,0
1-11-2 [SEPA] 0-5-1 [SEPA] lold [SEPA] and afk mid,0
noo [SEPA] my meep,0
w8 pls [SEPA] ty,0
lol,0
nigga pls [SEPA] I'm just trying to enjoy a game of dota [SEPA] I failed my humanities test,1
yo wk,0
feels like we should afk [SEPA] 17 [SEPA] storm,0
lol @ situation enemy team unpausing when their teammate is disconnected,0
ok huskar,0
Y [SEPA] game called [SEPA] discusting shit,1
because youre waiting for that people and hes off,0
okay i report [SEPA] reported,0
worth,0
GG,0
Wtf [SEPA] lol,0
who is the carry on my team [SEPA] I have no clue,0
you noob jug,1
0,0
commend invoke [SEPA] you;re great,0
FUCKING SHITTT [SEPA] U SHOULD GIVE HACK [SEPA] JACK [SEPA] KILL 1 [SEPA] asdjknasdas,0
32-3 [SEPA] ez mid,0
?,0
HAHAHAHAHAHA [SEPA] Clasic,0
nice mid fam,0
))))) [SEPA]  ?,0
man its wasting time bro . [SEPA] i need many game .,0
gg wp  [SEPA] commenmd me,0
g,0
he has 25 free secs [SEPA] to play sb,0
the part i dont get,0
gg,0
no,0
that's for sure,0
ggwp,0
Rofl,0
i am 1.2,0
u fuckers are so bad at this game [SEPA] that i just don't know [SEPA] if u have eyes [SEPA] or hands,0
Drow 2-56 [SEPA] Drow 2-5,0
np,0
end plz,0
u r ez [SEPA] cos [SEPA] our teamates,0
ez,0
GGWP,0
began with 2 kills [SEPA] still lost mid [SEPA] wat a plauer,0
hahahaha [SEPA] lion,0
Tqqqq [SEPA] lol,0
fuck it,1
:d,0
gg,0
WTF [SEPA] IS HAPPENING,0
he did its cd [SEPA] kappa,0
no coins,0
go end,0
raped,0
lol,0
LOL,0
come again pls,0
ez mid [SEPA] V,0
too pro you guys lol,0
rofl,0
WTF,0
scary,0
AW [SEPA] SVEN [SEPA] GG,0
fuck u and al-qaueda,1
GG,0
lmao [SEPA] totally worth killing a support huh,0
ROFL,0
see my carry [SEPA] im just a support,0
lina!,0
odk [SEPA] idk [SEPA] xd [SEPA] kill wr plz,0
sure [SEPA] we can trade [SEPA] if you report Morph,0
end it,0
u hit a gril,0
yes [SEPA] ty,0
G?,0
lol they see the dc and just go ham on him [SEPA] worst fuckin team i've ever dazzled for we were 8-0 and then they throw the game hard as fuck [SEPA] just 5 man mid and end this jokefest,1
pick more shit [SEPA] faggots :),1
bro [SEPA] stop,0
NICE [SEPA] fucking creep,0
ez lc jungle,0
:D,0
..,0
Shitty computer,0
shut up ud [SEPA] you are animal,1
gg team duall,0
WHY SO EZ?,0
plz report brist guys [SEPA] fucking russians [SEPA] i hope u all die,1
no idea whats in these kids brains,0
fails of the fucking weak [SEPA] 'weak?,0
have a good night,0
lol,0
how long dude,0
HAHAHAH,0
thats why i did it,0
ez,0
ez fb [SEPA] snowball shit,1
zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,0
LOL [SEPA] lumi pls [SEPA] my wards(,0
no [SEPA] puck u,0
trash alchem,1
lmao [SEPA] thx [SEPA] fuq,0
lol?`! [SEPA] gg,0
Gg,0
lol,0
gg,0
slardar,0
you? [SEPA] fucker,0
ggwp,0
0 4 alche :O [SEPA] :D,0
lols,0
:) just dont put me in trees pls,0
pls master sing,0
can you tell  me how ?,0
not strong enough,0
sad invo,0
please guys report to the wors shaker ever,0
T T,0
viva la prua,0
w8 for lina?,0
GG SERENITY,0
nothing to do [SEPA] nah,0
ok just wait,0
then feed coriers,0
wheres the tink...,0
;D,0
aw,0
Jesus wants me to lose,0
accept ur misplay,0
gg,0
dota wtf,0
huska gave us free farm too,0
haha,0
gg,0
"for last pick, for trying defend, for unpause viper [SEPA] or for steal dead [SEPA]  a no!!! lina do",0
Kappa,0
hah,0
such heal!,0
fu,0
its his skill stupiud,0
report lich please,0
ez rubick,0
yeah report himplz,0
ez [SEPA] ez wr,0
classic euls [SEPA] when you can't land a normal hook,0
HAHAHAHAHAHAHHAHAHAHA,0
2k now [SEPA] ya it is,0
Its good,0
could be,0
youve all died more than crystal feeden,0
u spare me [SEPA] i spare u,0
i didn't have farm too [SEPA] idiots on my team,0
SALAM,0
how [SEPA] WTF [SEPA] THIS IS NOT EVEN REALITY,0
ez,0
ｃａｎ　ｙｏｕ　ｇｕｙｓ　ｐｕｓｈ,0
you guys realsie this is EU west right,0
lol i'm rich,0
GG,0
ez,0
thanks silencer,0
hehe,0
hahahaha,0
ff [SEPA] finish,0
This is why i dont que in morning,0
report this am,0
if you guys want to thatd eb appreciated,0
end fastr [SEPA] if can,0
3 vs 5 still sayin crap? [SEPA] STUPID BRAIN,1
you drain them dry dont you,0
your mum is a bitch  [SEPA] fucking nyx,1
5+,0
still viper [SEPA] no 1,0
u know,0
kill the fucking halacopter,0
i killed alch 5 time & join your fucking lanes,0
wagga wagga?,0
okay well,0
noob juggernaut [SEPA] easy game,1
hahahahaha,0
??,0
k',0
11 creeps,0
gg haha,0
?,0
really niggas?,0
will give u oscar,0
bad,0
lol,0
:LOLP,0
fuck this server,1
even if had husk,0
Come again [SEPA] did i give you permission to fall?,0
sad,0
end fast,0
my god,0
gg,0
GG,0
no,0
sad teasm,0
18 cm,0
:) [SEPA] Void backtracks everything [SEPA] WE are lucky [SEPA] :),0
im talking to spec [SEPA] are us pec,0
XD,0
where are u going to?,0
gg,0
gg dazzle,0
its the stun [SEPA] its last 3 ages,0
fuck yes i am,1
weahaha [SEPA] wahaha,0
noobs,0
am 0 4,0
lich fuckingn retarded,0
Ez katouska,0
mkb,0
3 feed,0
dafaq,0
when im gone,0
i dont buy it,0
purple ur vile:(,0
ya y a,0
nice,0
maybe pauserino [SEPA] next time,0
ZEUS [SEPA] look,0
los compra cuenta,0
fixing keybindings [SEPA] 40 secs [SEPA] ty,0
WPWP,0
?,0
what [SEPA] a [SEPA] play,0
the feeds,0
Axxaxaxaxaxaaxxa,0
G [SEPA] GG,0
aw,0
Lol against a huskar  [SEPA] nah,0
y?>,0
but after 3  [SEPA] its stupid,1
sick plays,0
greedy pick there,0
dats ur highest mmr,0
wait WTF,0
gg ez,0
ez mid [SEPA] noob sf,1
"Bristle, how much did you pay for that 4k account>",0
gg [SEPA] report phoenix ty [SEPA] go ff mid pls,0
AM FARMVILLE BUT,0
i got time to farm [SEPA] so what,0
gg,0
ele,0
dude. [SEPA] wheres your guy,0
ahahha,0
can u wait,0
322,0
LOL all 4k HP,0
haha,0
report axe,0
did that go how you wanted it to bs,0
ITS IN THE BAG,0
Gg [SEPA] ez,0
sri lanka,0
Wtf,0
ez for a 2k,0
No1 understands u [SEPA] back to the motherland,0
ty tyt,0
haha,0
Cyka,0
report those guys if u dont want toxic players in your team [SEPA] gg wp,0
ur team,0
^______V,0
if rubick does shit i feed cours,1
hahhah,0
nerds,0
You'll lose even if you win,0
PJSalt,0
noob pudge,1
ANJING!,0
manta for_ [SEPA] ?,0
ez carrys,0
hmm.,0
u guys [SEPA] i am kind [SEPA] but i wont ult,0
ez team,0
woops,0
my last am game i was 5 slot 30m lol,0
mda.,0
u just got reborned,0
CUNT,1
jakiro won it,0
GG,0
lol,0
:D,0
ty gusy,0
nerd,0
wp morph,0
:),0
GO FF [SEPA] HELLO [SEPA] COMBO [SEPA] idiots,0
gg wp,0
yeah,0
"i report them [SEPA] piece of shits [SEPA] muted, ignored , reported",0
what ching porn,0
playing it now invo,0
),0
shut up,1
izi,0
EZ OF MY LIFE  [SEPA] yay,0
Not his fault,0
ahah [SEPA] hueueueue,0
babilo!,0
furion ta solo so ir,0
lol,0
noob,1
NOOB [SEPA] PA MORE [SEPA] AM MORE,1
end,0
yea,0
GG,0
ez mmrs,0
niggaz la,0
they will RC,0
y?,0
sGASGFJ WANNA FASD,0
korean dude,0
that alch [SEPA] so awful,0
This is our first game,0
./.,0
wtf [SEPA] ....,0
hahaha comeback is real,0
i won mid you daggot,0
pidaras =gay,0
meta pickers suck,1
haha u died from my illu,0
40 assist,0
u wot m8 [SEPA] we dont wait [SEPA] 5 mins not count anyway,0
bad damage,0
xD,0
u too ==,0
i cant w8 10 min,0
tade,0
LOL [SEPA] 1200 GOLd,0
since he'll get an abandon whether we're paused or not [SEPA] zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,0
HAHA,0
SO EZ,0
ranged creep dusa,0
ez game,0
tyrannosaurus rekt [SEPA] fucking spectre,0
gggg,0
and nothing,0
REport mid  [SEPA] Fail jaahahahha,0
7 sec cd,0
can u end,0
gg [SEPA] end fast  [SEPA] team too fucking dumb,0
haha [SEPA] we win u,0
for bitching,0
haha [SEPA] haha [SEPA] congratz,0
die dog [SEPA] xD [SEPA] keep hit me a sf [SEPA] y so hate me,1
2 vlad in team gg,0
coz [SEPA] we can,0
rofl,0
end mid,0
nice buyback bto,0
lastpick invoker to counter [SEPA] sos crub,0
?,0
SDA,0
trax rroamer [SEPA] NEW METAAAAAAAAAAAAAAAAAAAAAAAA,0
haha [SEPA] ez,0
EZ,0
nice wards cm they were everywhere,0
he is moron [SEPA] report [SEPA] him,1
worth,0
rmk?,0
gg,0
+,0
gg [SEPA] ez am,0
why mirna [SEPA] ?,0
my team is afk,0
here's a lesson slark you cunt - dont unpause,1
fuk u,0
"kk [SEPA] str8 mid~ [SEPA] why ur sper,",0
plz dont chop me [SEPA] im innocent,0
gg,0
ye ye [SEPA] mb aegis help you,0
haha,0
gg [SEPA] end [SEPA] pros carry [SEPA] min 40 just bkb [SEPA] damn asshole,0
stole my mid,0
drow come to finish on your tits,0
wtfffffffffff [SEPA] i didnt even know u will chrono him [SEPA] noob [SEPA] big loss [SEPA] i thought u will fight,1
huehue,0
last fight,0
gg wp,0
well played mid and pl ffs,0
thanks you too!,0
2 mins,0
gg wp,0
whats your problem? [SEPA] gay,0
how can cent have dagger by now then? :D,0
my bastard son has a big mouth aww,1
NOOB CORES,1
lol why,0
I'm now 100% sure,0
DID I?,0
.. [SEPA] es,0
nice fucking dodges [SEPA] missed [SEPA] 5 or so [SEPA] in a row,0
wowo [SEPA] this ds [SEPA] speeds a creeps at the END of the wave [SEPA] THEN FEEDS [SEPA] WTF,0
I'm unaware that I am playing with kids that know shit all,1
dont mess with me,0
ikr [SEPA] just dont get caught singing the lyrics,0
+,0
really [SEPA] like,0
ez game,0
gj,0
tHE [SEPA] BGEST,0
fuck yeah :D [SEPA] go push [SEPA] iend [SEPA] i wont bb [SEPA] fuck  [SEPA] fast [SEPA] end [SEPA] Rape them [SEPA] hahaha,1
ur team unpaused,0
"jeez windranger, pwn me hard enough?",0
gg cumback,0
yo mate,0
+,0
you are doomed,0
tiny is a pleasant person irl [SEPA] gg boys,0
YESSSS,0
play barbie,0
fuck this lina [SEPA] fuck this retard sf,1
they dont even need me [SEPA] ..,0
voltis,0
gg end,0
wait him abandon [SEPA] dont end yet [SEPA] please  [SEPA] guys,0
"its a game, therefore you should wait just a little bit",0
are u like always agressive?  [SEPA] i mean russians,0
fucking wasting grave 10 minutes early on void,0
gg,0
let me ultra kill [SEPA] 2 time [SEPA] gg,0
i smell victory,0
ES and KOT:,0
"gg [SEPA] Doom didnt use shiva [SEPA] And we didnt kill tinker [SEPA] 7k doo, [SEPA] gg [SEPA] useless piece for shit",1
why didnt u ember mid [SEPA] and qop safelane? [SEPA] cuz u rek mid so hard then,0
1,0
"Sorry, he'll brb",0
lol [SEPA] rekt,0
COMMEND SLARDAR,0
yea hes noob [SEPA] report him thx,1
HAHAHAHA,0
hi [SEPA] end [SEPA] mega,0
space,0
dont def la,0
worth? [SEPA] lol [SEPA] wp lina [SEPA] 10/10,0
ggwp,0
stfu?,1
Ohk [SEPA] king,0
ggggggggggggggggg,0
so storm [SEPA] another shit team? [SEPA] rofl.,1
noob team,1
BABE,0
new play sand king. go jungle for 12 minutes can only get brown boots and blink then flame team cause they got ruined by a tea [SEPA] and then hide in trees like a bitch cause the can't do shit,1
lol,0
AFesabgvearhwhnjrst,0
commend me <3,0
wtf  [SEPA] so long,0
tony sark is afk,0
lol,0
yah,0
okay,0
why me? :) [SEPA] why you hate me? [SEPA] haha,1
G,0
5k mmr and such tryhard [SEPA] calling a sup,0
schooling ppl [SEPA] about dota [SEPA] the only one who won the game [SEPA] was aa,0
blyat [SEPA] mraz [SEPA] ebanaya [SEPA] malis,0
being sk,0
rc [SEPA] w8 pls [SEPA] 1 sec [SEPA] 2 [SEPA] 3 [SEPA] 4 [SEPA] 4,0
ge gege,0
hate my team,1
GG [SEPA] void [SEPA] cant chrono,0
GG BUY DZZ,0
report him,0
fuck god,1
see ? [SEPA] come with us tsk,0
:s,0
best team 5 melee,0
hah,0
LOL,0
lel,0
:_V,0
gg was fun,0
MICROING A LIMB AT A TIME [SEPA] or [SEPA] u could say [SEPA] CYKA BLYAT [SEPA] PUTANG INA MO [SEPA] DUMB SHIT [SEPA] which translates into i am butt hurt [SEPA] in engrrish,1
just end this,0
ty,0
how do they lose mid [SEPA] to u,0
owned,0
EZ,0
hah ha ha,0
FREE FARM ALCHE :),0
lmfao,0
why the fuck would we report him?,1
savr,0
8 wards,0
ahahahahaha,0
totaly shit,1
haha,0
hahahaha [SEPA] that luck though,0
suns out guns out,0
HES NOT CANYET [SEPA] LOL [SEPA] IM HUGH,0
F{F{F{,0
haha [SEPA] same bro [SEPA] my idol is illidan,0
ez,0
this tean [SEPA] hopeless shit,1
Trash players.,1
gg,0
WP SNIPER [SEPA] WP [SEPA] WP SNIPER [SEPA] WP [SEPA] WP SNIPER [SEPA] WP,0
haha,0
1 more,0
hey silencer is your ulti up?,0
WE FUCKEN LOST,0
Hahahaha [SEPA] Tanginmo [SEPA] bobo ka,0
1 time killed u wiht sb ulti [SEPA] all time [SEPA] stupid player,1
lol,0
ty,0
ggwp,0
ur actually nothing better,0
yes,0
RS,0
shut up,1
gG,0
gg,0
gg,0
hahah,0
lol,0
i give immortal,0
u guys lagging?,0
OH SHIET [SEPA] HOW I LIVE,0
Dolboebi,0
gl & Hf,0
yeah [SEPA] ./.,0
^^,0
REPORT,0
ROFL,0
lol [SEPA] ?? [SEPA] Ez [SEPA] game,0
Speak english,0
gyro smoking,0
oops,0
ggwp,0
ez mmr,0
gg,0
or about coins im about to win,0
TINI DAUN,0
gege,0
matre,0
and sk lvl 1 dududu [SEPA] so shut the fuck up [SEPA] dog [SEPA] Admit that you are low shit,1
its so delay bro,0
Good game.,0
are you russian or smt?,0
plz ff,0
BOT WAS,0
is there an am?,0
?,0
started like 4 days back [SEPA] me and the carry,0
wew,0
SNIPER RUN MORE [SEPA] SEE,0
is wifi,0
gg [SEPA] stupid game,1
wait,0
go away,0
gg noob,1
1k mmr ta [SEPA] woo [SEPA] beat by carry io,0
TA you should have used those illusions for vision,0
gg,0
who is bad?,0
GL,0
lol he finaklly gets me,0
really too many carry [SEPA] FUCK GG [SEPA] TOO MANY CARRY NO WARDS NO COURIER,1
GGWP,0
furions cannot win,0
still waiting for the secret weapon [SEPA] aka qop,0
2- 20 QOP,0
(,0
E [SEPA] G [SEPA] R [SEPA] E [SEPA] T [SEPA] S,0
u just killed,0
hater :D [SEPA] who left lane :( so sad,0
4v1,0
haha,0
